Id,ModuleLabel,ModuleKey,CreatedDate,ModuleActionName,CreatedBy,
"32554","Jenis Transaksi","39","2/6/2020 2:00:24 PM","Delete","adminmaker",
"32579","Jenis Transaksi","c3949104-ae93-4352-80fa-c1626d9e884e","2/7/2020 2:56:25 PM","Insert","adminmaker",
